Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
Diciembre 2022	1.921 €/m2	- 0,4 %	+ 1,5 %	+ 5,0 %
Noviembre 2022	1.929 €/m2	+ 1,0 %	+ 1,7 %	+ 5,4 %
Octubre 2022	1.910 €/m2	+ 0,9 %	+ 1,2 %	+ 5,2 %
Septiembre 2022	1.893 €/m2	- 0,1 %	+ 0,9 %	+ 4,4 %
Agosto 2022	1.896 €/m2	+ 0,4 %	+ 1,4 %	+ 3,9 %
Julio 2022	1.888 €/m2	+ 0,6 %	+ 1,9 %	+ 3,4 %
Junio 2022	1.876 €/m2	+ 0,4 %	+ 2,8 %	+ 3,3 %
Mayo 2022	1.869 €/m2	+ 0,9 %	+ 3,0 %	+ 3,6 %
Abril 2022	1.853 €/m2	+ 1,5 %	+ 1,6 %	+ 3,3 %
Marzo 2022	1.825 €/m2	+ 0,6 %	- 0,2 %	+ 2,3 %
Febrero 2022	1.814 €/m2	- 0,6 %	- 0,9 %	+ 2,4 %
Enero 2022	1.824 €/m2	- 0,3 %	+ 0,5 %	+ 2,1 %
Diciembre 2021	1.829 €/m2	- 0,1 %	+ 0,9 %	+ 2,8 %
Noviembre 2021	1.831 €/m2	+ 0,8 %	+ 0,3 %	+ 3,5 %
Octubre 2021	1.816 €/m2	+ 0,2 %	- 0,6 %	+ 3,7 %
Septiembre 2021	1.813 €/m2	- 0,6 %	- 0,2 %	+ 4,0 %
Agosto 2021	1.825 €/m2	- 0,1 %	+ 1,1 %	+ 5,2 %
Julio 2021	1.826 €/m2	+ 0,5 %	+ 1,8 %	+ 8,9 %
Junio 2021	1.816 €/m2	+ 0,6 %	+ 1,8 %	+ 10,1 %
Mayo 2021	1.805 €/m2	+ 0,6 %	+ 1,9 %	+ 4,4 %
Abril 2021	1.794 €/m2	+ 0,6 %	+ 0,4 %	+ 2,3 %
Marzo 2021	1.784 €/m2	+ 0,7 %	+ 0,3 %	+ 1,5 %
Febrero 2021	1.771 €/m2	- 0,9 %	+ 0,1 %	+ 1,1 %
Enero 2021	1.786 €/m2	+ 0,4 %	+ 2,0 %	+ 1,6 %
Diciembre 2020	1.779 €/m2	+ 0,6 %	+ 2,1 %	+ 0,9 %
Noviembre 2020	1.769 €/m2	+ 1,0 %	+ 1,9 %	+ 0,4 %
Octubre 2020	1.752 €/m2	+ 0,5 %	+ 4,4 %	+ 0,6 %
Septiembre 2020	1.742 €/m2	+ 0,4 %	+ 5,6 %	+ 0,4 %
Agosto 2020	1.735 €/m2	+ 3,4 %	+ 0,3 %	- 0,8 %
Julio 2020	1.677 €/m2	+ 1,6 %	- 4,3 %	- 3,5 %
Junio 2020	1.650 €/m2	- 4,6 %	- 6,1 %	- 4,8 %
Mayo 2020	1.730 €/m2	- 1,3 %	- 1,3 %	+ 1,0 %
Abril 2020	1.753 €/m2	- 0,3 %	- 0,3 %	+ 2,6 %
Marzo 2020	1.758 €/m2	+ 0,3 %	- 0,3 %	+ 3,2 %
Febrero 2020	1.752 €/m2	- 0,3 %	- 0,5 %	+ 3,4 %
Enero 2020	1.758 €/m2	- 0,3 %	+ 1,0 %	+ 4,3 %
Diciembre 2019	1.763 €/m2	+ 0,1 %	+ 1,6 %	+ 4,6 %
Noviembre 2019	1.761 €/m2	+ 1,2 %	+ 0,7 %	+ 4,6 %
Octubre 2019	1.741 €/m2	+ 0,3 %	+ 0,2 %	+ 4,5 %
Septiembre 2019	1.735 €/m2	- 0,8 %	+ 0,2 %	+ 4,2 %
Agosto 2019	1.749 €/m2	+ 0,6 %	+ 2,1 %	+ 5,3 %
Julio 2019	1.738 €/m2	+ 0,3 %	+ 1,7 %	+ 5,3 %
Junio 2019	1.733 €/m2	+ 1,2 %	+ 1,7 %	+ 6,0 %
Mayo 2019	1.712 €/m2	+ 0,2 %	+ 1,1 %	+ 5,8 %
Abril 2019	1.709 €/m2	+ 0,3 %	+ 1,3 %	+ 6,0 %
Marzo 2019	1.703 €/m2	+ 0,5 %	+ 1,1 %	+ 6,0 %
Febrero 2019	1.694 €/m2	+ 0,4 %	+ 0,6 %	+ 6,5 %
Enero 2019	1.686 €/m2	+ 0,1 %	+ 1,2 %	+ 7,4 %
Diciembre 2018	1.685 €/m2	+ 0,1 %	+ 1,1 %	+ 8,2 %
Noviembre 2018	1.684 €/m2	+ 1,0 %	+ 1,4 %	+ 8,3 %
Octubre 2018	1.666 €/m2	0,0 %	+ 1,0 %	+ 8,0 %
Septiembre 2018	1.666 €/m2	+ 0,3 %	+ 1,9 %	+ 8,6 %
Agosto 2018	1.661 €/m2	+ 0,7 %	+ 2,6 %	+ 7,1 %
Julio 2018	1.650 €/m2	+ 0,9 %	+ 2,4 %	+ 5,5 %
Junio 2018	1.635 €/m2	+ 1,0 %	+ 1,8 %	+ 6,0 %
Mayo 2018	1.619 €/m2	+ 0,5 %	+ 1,8 %	+ 5,5 %
Abril 2018	1.612 €/m2	+ 0,3 %	+ 2,7 %	+ 4,9 %
Marzo 2018	1.607 €/m2	+ 1,0 %	+ 3,2 %	+ 5,0 %
Febrero 2018	1.590 €/m2	+ 1,3 %	+ 2,3 %	+ 4,5 %
Enero 2018	1.570 €/m2	+ 0,8 %	+ 1,7 %	+ 3,0 %
Diciembre 2017	1.557 €/m2	+ 0,1 %	+ 1,5 %	+ 2,4 %
Noviembre 2017	1.555 €/m2	+ 0,8 %	+ 0,3 %	+ 3,3 %
Octubre 2017	1.544 €/m2	+ 0,6 %	- 1,3 %	+ 3,2 %
Septiembre 2017	1.534 €/m2	- 1,1 %	- 0,6 %	+ 2,5 %
Agosto 2017	1.551 €/m2	- 0,8 %	+ 1,0 %	+ 2,6 %
Julio 2017	1.564 €/m2	+ 1,3 %	+ 1,8 %	+ 3,7 %
Junio 2017	1.543 €/m2	+ 0,5 %	+ 0,9 %	+ 1,9 %
Mayo 2017	1.535 €/m2	- 0,1 %	+ 0,9 %	+ 1,3 %
Abril 2017	1.537 €/m2	+ 0,4 %	+ 0,8 %	+ 0,8 %
Marzo 2017	1.530 €/m2	+ 0,5 %	+ 0,6 %	+ 0,2 %
Febrero 2017	1.522 €/m2	- 0,2 %	+ 1,0 %	- 0,3 %
Enero 2017	1.524 €/m2	+ 0,2 %	+ 1,9 %	0,0 %
Diciembre 2016	1.521 €/m2	+ 1,0 %	+ 1,6 %	- 0,4 %
Noviembre 2016	1.506 €/m2	+ 0,7 %	- 0,4 %	- 1,3 %
Octubre 2016	1.496 €/m2	- 0,1 %	- 0,8 %	- 1,9 %
Septiembre 2016	1.497 €/m2	- 1,0 %	- 1,2 %	- 1,7 %
Agosto 2016	1.512 €/m2	+ 0,2 %	- 0,3 %	- 1,0 %
Julio 2016	1.509 €/m2	- 0,4 %	- 1,0 %	- 2,3 %
Junio 2016	1.515 €/m2	- 0,1 %	- 0,8 %	- 2,1 %
Mayo 2016	1.516 €/m2	- 0,5 %	- 0,7 %	- 2,3 %
Abril 2016	1.524 €/m2	- 0,2 %	0,0 %	- 1,5 %
Marzo 2016	1.527 €/m2	+ 0,1 %	0,0 %	- 1,5 %
Febrero 2016	1.526 €/m2	+ 0,1 %	0,0 %	- 1,4 %
Enero 2016	1.524 €/m2	- 0,2 %	0,0 %	- 1,9 %
Diciembre 2015	1.528 €/m2	+ 0,1 %	+ 0,3 %	- 2,2 %
Noviembre 2015	1.526 €/m2	+ 0,1 %	0,0 %	- 2,1 %
Octubre 2015	1.525 €/m2	+ 0,1 %	- 1,2 %	- 1,4 %
Septiembre 2015	1.522 €/m2	- 0,3 %	- 1,6 %	- 1,3 %
Agosto 2015	1.526 €/m2	- 1,1 %	- 1,7 %	- 1,5 %
Julio 2015	1.544 €/m2	- 0,2 %	- 0,3 %	- 1,2 %
Junio 2015	1.547 €/m2	- 0,4 %	- 0,3 %	- 1,0 %
Mayo 2015	1.552 €/m2	+ 0,3 %	+ 0,2 %	- 0,9 %
Abril 2015	1.548 €/m2	- 0,2 %	- 0,4 %	- 0,5 %
Marzo 2015	1.551 €/m2	+ 0,2 %	- 0,7 %	- 1,4 %
Febrero 2015	1.549 €/m2	- 0,4 %	- 0,7 %	- 3,3 %
Enero 2015	1.554 €/m2	- 0,5 %	+ 0,5 %	- 3,0 %
Diciembre 2014	1.563 €/m2	+ 0,2 %	+ 1,3 %	- 2,7 %
Noviembre 2014	1.559 €/m2	+ 0,8 %	+ 0,5 %	- 3,0 %
Octubre 2014	1.546 €/m2	+ 0,2 %	- 1,0 %	- 4,1 %
Septiembre 2014	1.543 €/m2	- 0,5 %	- 1,3 %	- 4,9 %
Agosto 2014	1.550 €/m2	- 0,7 %	- 1,1 %	- 4,9 %
Julio 2014	1.562 €/m2	- 0,1 %	+ 0,4 %	- 5,0 %
Junio 2014	1.563 €/m2	- 0,3 %	- 0,7 %	- 5,2 %
Mayo 2014	1.567 €/m2	+ 0,7 %	- 2,2 %	- 5,5 %
Abril 2014	1.555 €/m2	- 1,2 %	- 3,0 %	- 6,4 %
Marzo 2014	1.574 €/m2	- 1,8 %	- 2,0 %	- 6,1 %
Febrero 2014	1.602 €/m2	- 0,1 %	- 0,3 %	- 4,7 %
Enero 2014	1.603 €/m2	- 0,2 %	- 0,5 %	- 5,0 %
Diciembre 2013	1.606 €/m2	- 0,1 %	- 1,0 %	- 6,2 %
Noviembre 2013	1.608 €/m2	- 0,2 %	- 1,4 %	- 7,3 %
Octubre 2013	1.611 €/m2	- 0,7 %	- 1,9 %	- 7,5 %
Septiembre 2013	1.623 €/m2	- 0,5 %	- 1,5 %	- 6,7 %
Agosto 2013	1.630 €/m2	- 0,8 %	- 1,7 %	- 7,9 %
Julio 2013	1.644 €/m2	- 0,3 %	- 1,1 %	- 8,7 %
Junio 2013	1.648 €/m2	- 0,6 %	- 1,7 %	- 9,2 %
Mayo 2013	1.658 €/m2	- 0,2 %	- 1,4 %	- 9,3 %
Abril 2013	1.663 €/m2	- 0,8 %	- 1,5 %	- 10,0 %
Marzo 2013	1.676 €/m2	- 0,3 %	- 2,1 %	- 9,8 %
Febrero 2013	1.682 €/m2	- 0,3 %	- 3,0 %	- 10,4 %
Enero 2013	1.687 €/m2	- 1,4 %	- 3,2 %	- 11,3 %
Diciembre 2012	1.712 €/m2	- 1,3 %	- 1,6 %	- 10,5 %
Noviembre 2012	1.734 €/m2	- 0,5 %	- 2,1 %	- 10,4 %
Octubre 2012	1.742 €/m2	+ 0,1 %	- 3,2 %	- 10,2 %
Septiembre 2012	1.740 €/m2	- 1,7 %	- 4,2 %	- 10,4 %
Agosto 2012	1.771 €/m2	- 1,6 %	- 3,1 %	- 9,9 %
Julio 2012	1.800 €/m2	- 0,9 %	- 2,5 %	- 8,9 %
Junio 2012	1.816 €/m2	- 0,7 %	- 2,3 %	- 8,4 %
Mayo 2012	1.828 €/m2	- 1,0 %	- 2,6 %	- 7,9 %
Abril 2012	1.846 €/m2	- 0,6 %	- 2,9 %	- 6,9 %
Marzo 2012	1.858 €/m2	- 1,0 %	- 2,9 %	- 6,4 %
Febrero 2012	1.877 €/m2	- 1,3 %	- 3,0 %	- 4,4 %
Enero 2012	1.902 €/m2	- 0,6 %	- 2,0 %	- 3,1 %
Diciembre 2011	1.913 €/m2	- 1,1 %	- 1,5 %	- 2,6 %
Noviembre 2011	1.935 €/m2	- 0,3 %	- 1,6 %	- 1,3 %
Octubre 2011	1.940 €/m2	- 0,1 %	- 1,8 %	- 0,1 %
Septiembre 2011	1.942 €/m2	- 1,2 %	- 2,0 %	+ 0,8 %
Agosto 2011	1.965 €/m2	- 0,6 %	- 1,0 %	+ 2,1 %
Julio 2011	1.976 €/m2	- 0,3 %	- 0,3 %	+ 2,4 %
Junio 2011	1.982 €/m2	- 0,1 %	- 0,1 %	+ 3,7 %
Mayo 2011	1.984 €/m2	+ 0,1 %	+ 1,1 %	+ 3,9 %
Abril 2011	1.983 €/m2	- 0,1 %	+ 1,0 %	+ 4,4 %
Marzo 2011	1.984 €/m2	+ 1,1 %	+ 1,1 %	+ 5,1 %
Febrero 2011	1.963 €/m2	0,0 %	+ 0,2 %	+ 4,9 %
Enero 2011	1.963 €/m2	0,0 %	+ 1,0 %	+ 4,8 %
Diciembre 2010	1.963 €/m2	+ 0,2 %	+ 1,9 %	+ 4,8 %
Noviembre 2010	1.960 €/m2	+ 0,8 %	+ 1,9 %	+ 4,3 %
Octubre 2010	1.943 €/m2	+ 0,8 %	+ 0,7 %	+ 3,5 %
Septiembre 2010	1.927 €/m2	+ 0,2 %	+ 0,9 %	+ 2,7 %
Agosto 2010	1.924 €/m2	- 0,3 %	+ 0,8 %	+ 2,2 %
Julio 2010	1.931 €/m2	+ 1,1 %	+ 1,7 %	+ 1,8 %
Junio 2010	1.910 €/m2	0,0 %	+ 1,2 %	+ 0,5 %
Mayo 2010	1.909 €/m2	+ 0,6 %	+ 2,1 %	- 0,2 %
Abril 2010	1.898 €/m2	+ 0,6 %	+ 1,4 %	- 1,2 %
Marzo 2010	1.888 €/m2	+ 0,9 %	+ 0,8 %	- 2,0 %
Febrero 2010	1.871 €/m2	- 0,1 %	- 0,4 %	- 2,5 %
Enero 2010	1.873 €/m2	0,0 %	- 0,2 %	- 2,5 %
Diciembre 2009	1.873 €/m2	- 0,3 %	- 0,2 %	- 2,5 %
Noviembre 2009	1.879 €/m2	+ 0,1 %	- 0,2 %	- 3,3 %
Octubre 2009	1.878 €/m2	0,0 %	- 1,0 %	- 3,1 %
Septiembre 2009	1.878 €/m2	- 0,3 %	- 1,2 %	- 3,5 %
Agosto 2009	1.883 €/m2	- 0,7 %	- 1,6 %	- 3,6 %
Julio 2009	1.897 €/m2	- 0,2 %	- 1,3 %	- 4,2 %
Junio 2009	1.901 €/m2	- 0,6 %	- 1,3 %	- 5,3 %
Mayo 2009	1.913 €/m2	- 0,4 %	- 0,3 %	- 5,0 %
Abril 2009	1.921 €/m2	- 0,3 %	0,0 %	- 5,0 %
Marzo 2009	1.927 €/m2	+ 0,4 %	+ 0,3 %	- 4,6 %
Febrero 2009	1.918 €/m2	- 0,1 %	- 1,3 %	- 4,5 %
Enero 2009	1.921 €/m2	0,0 %	- 0,9 %	- 4,5 %
Diciembre 2008	1.921 €/m2	- 1,1 %	- 1,3 %	- 5,0 %
Noviembre 2008	1.943 €/m2	+ 0,2 %	- 0,5 %	- 5,0 %
Octubre 2008	1.938 €/m2	- 0,4 %	- 2,1 %	- 4,9 %
Septiembre 2008	1.946 €/m2	- 0,4 %	- 3,1 %	- 3,8 %
Agosto 2008	1.953 €/m2	- 1,3 %	- 3,0 %	- 3,6 %
Julio 2008	1.979 €/m2	- 1,5 %	- 2,2 %	- 3,2 %
Junio 2008	2.008 €/m2	- 0,3 %	- 0,6 %	- 2,2 %
Mayo 2008	2.013 €/m2	- 0,5 %	+ 0,2 %	- 1,5 %
Abril 2008	2.023 €/m2	+ 0,2 %	+ 0,6 %	+ 0,4 %
Marzo 2008	2.019 €/m2	+ 0,5 %	- 0,2 %	- 0,2 %
Febrero 2008	2.009 €/m2	- 0,1 %	- 1,8 %	+ 1,2 %
Enero 2008	2.011 €/m2	- 0,6 %	- 1,4 %	+ 1,6 %
Diciembre 2007	2.023 €/m2	- 1,1 %	0,0 %	+ 1,8 %
Noviembre 2007	2.046 €/m2	+ 0,3 %	+ 1,0 %	+ 3,0 %
Octubre 2007	2.039 €/m2	+ 0,8 %	- 0,3 %	+ 3,2 %
Septiembre 2007	2.022 €/m2	- 0,2 %	- 1,5 %	+ 2,4 %
Agosto 2007	2.026 €/m2	- 0,9 %	- 0,9 %	+ 3,4 %
Julio 2007	2.045 €/m2	- 0,4 %	+ 1,5 %	+ 4,3 %
Junio 2007	2.053 €/m2	+ 0,4 %	+ 1,5 %	+ 5,1 %
Mayo 2007	2.044 €/m2	+ 1,5 %	+ 3,0 %	+ 5,6 %
Abril 2007	2.015 €/m2	- 0,4 %	+ 1,8 %	+ 4,2 %
Marzo 2007	2.023 €/m2	+ 2,0 %	+ 1,9 %	+ 3,7 %
Febrero 2007	1.984 €/m2	+ 0,2 %	- 0,1 %	+ 0,6 %
Enero 2007	1.980 €/m2	- 0,3 %	+ 0,2 %	+ 0,2 %
Diciembre 2006	1.986 €/m2	0,0 %	+ 0,6 %	n.d.
Noviembre 2006	1.986 €/m2	+ 0,5 %	+ 1,3 %	n.d.
Octubre 2006	1.976 €/m2	+ 0,1 %	+ 0,8 %	n.d.
Septiembre 2006	1.974 €/m2	+ 0,8 %	+ 1,1 %	n.d.
Agosto 2006	1.960 €/m2	- 0,1 %	+ 1,2 %	n.d.
Julio 2006	1.961 €/m2	+ 0,4 %	+ 1,4 %	n.d.
Junio 2006	1.953 €/m2	+ 0,9 %	+ 0,1 %	n.d.
Mayo 2006	1.937 €/m2	+ 0,2 %	- 1,8 %	n.d.
Abril 2006	1.934 €/m2	- 0,9 %	- 2,1 %	n.d.
Marzo 2006	1.951 €/m2	- 1,1 %	n.d.	n.d.
Febrero 2006	1.972 €/m2	- 0,2 %	n.d.	n.d.
Enero 2006	1.975 €/m2	n.d.	n.d.	n.d.