PERIODO,VALOR,TIPO DATO,NOTA
2022M12,109,899,Definitivo,
2022M11,109,734,Definitivo,
2022M10,109,866,Definitivo,
2022M09,109,498,Definitivo,
2022M08,110,265,Definitivo,
2022M07,109,986,Definitivo,
2022M06,110,267,Definitivo,
2022M05,108,262,Definitivo,
2022M04,107,375,Definitivo,
2022M03,107,566,Definitivo,
2022M02,104,403,Definitivo,
2022M01,103,567,Definitivo,
2021M12,103,965,Definitivo,
2021M11,102,738,Definitivo,
2021M10,102,425,Definitivo,
2021M09,100,575,Definitivo,
2021M08,99,743,Definitivo,
2021M07,99,292,Definitivo,
2021M06,100,046,Definitivo,
2021M05,99,572,Definitivo,
2021M04,99,105,Definitivo,
2021M03,97,949,Definitivo,
2021M02,97,008,Definitivo,
2021M01,97,583,Definitivo,
2020M12,97,574,Definitivo,
2020M11,97,367,Definitivo,
2020M10,97,208,Definitivo,
2020M09,96,700,Definitivo,
2020M08,96,555,Definitivo,
2020M07,96,511,Definitivo,
2020M06,97,385,Definitivo,
2020M05,96,938,Definitivo,
2020M04,96,944,Definitivo,
2020M03,96,652,Definitivo,
2020M02,97,024,Definitivo,
2020M01,97,139,Definitivo,
2019M12,98,096,Definitivo,
2019M11,98,167,Definitivo,
2019M10,98,001,Definitivo,
2019M09,97,059,Definitivo,
2019M08,97,059,Definitivo,
2019M07,97,113,Definitivo,
2019M06,97,719,Definitivo,
2019M05,97,834,Definitivo,
2019M04,97,644,Definitivo,
2019M03,96,669,Definitivo,
2019M02,96,320,Definitivo,
2019M01,96,085,Definitivo,
2018M12,97,329,Definitivo,
2018M11,97,768,Definitivo,
2018M10,97,875,Definitivo,
2018M09,96,978,Definitivo,
2018M08,96,742,Definitivo,
2018M07,96,604,Definitivo,
2018M06,97,302,Definitivo,
2018M05,97,048,Definitivo,
2018M04,96,181,Definitivo,
2018M03,95,393,Definitivo,
2018M02,95,281,Definitivo,
2018M01,95,153,Definitivo,
2017M12,96,190,Definitivo,
2017M11,96,147,Definitivo,
2017M10,95,710,Definitivo,
2017M09,94,835,Definitivo,
2017M08,94,670,Definitivo,
2017M07,94,482,Definitivo,
2017M06,95,138,Definitivo,
2017M05,95,097,Definitivo,
2017M04,95,154,Definitivo,
2017M03,94,249,Definitivo,
2017M02,94,269,Definitivo,
2017M01,94,609,Definitivo,
2016M12,95,132,Definitivo,
2016M11,94,572,Definitivo,
2016M10,94,230,Definitivo,
2016M09,93,165,Definitivo,
2016M08,93,161,Definitivo,
2016M07,93,041,Definitivo,
2016M06,93,723,Definitivo,
2016M05,93,292,Definitivo,
2016M04,92,785,Definitivo,
2016M03,92,139,Definitivo,
2016M02,91,552,Definitivo,
2016M01,91,876,Definitivo,
2015M12,93,663,Definitivo,
2015M11,93,937,Definitivo,
2015M10,93,595,Definitivo,
2015M09,92,999,Definitivo,
2015M08,93,286,Definitivo,
2015M07,93,597,Definitivo,
2015M06,94,474,Definitivo,
2015M05,94,222,Definitivo,
2015M04,93,774,Definitivo,
2015M03,92,920,Definitivo,
2015M02,92,331,Definitivo,
2015M01,92,141,Definitivo,
2014M12,93,646,Definitivo,
2014M11,94,195,Definitivo,
2014M10,94,261,Definitivo,
2014M09,93,824,Definitivo,
2014M08,93,681,Definitivo,
2014M07,93,533,Definitivo,
2014M06,94,421,Definitivo,
2014M05,94,395,Definitivo,
2014M04,94,373,Definitivo,
2014M03,93,541,Definitivo,
2014M02,93,333,Definitivo,
2014M01,93,373,Definitivo,
2013M12,94,632,Definitivo,
2013M11,94,547,Definitivo,
2013M10,94,351,Definitivo,
2013M09,93,969,Definitivo,
2013M08,94,145,Definitivo,
2013M07,93,853,Definitivo,
2013M06,94,340,Definitivo,
2013M05,94,201,Definitivo,
2013M04,94,028,Definitivo,
2013M03,93,678,Definitivo,
2013M02,93,349,Definitivo,
2013M01,93,188,Definitivo,
2012M12,94,394,Definitivo,
2012M11,94,328,Definitivo,
2012M10,94,445,Definitivo,
2012M09,93,649,Definitivo,
2012M08,92,736,Definitivo,
2012M07,92,217,Definitivo,
2012M06,92,433,Definitivo,
2012M05,92,606,Definitivo,
2012M04,92,743,Definitivo,
2012M03,91,458,Definitivo,
2012M02,90,847,Definitivo,
2012M01,90,753,Definitivo,
2011M12,91,762,Definitivo,
2011M11,91,643,Definitivo,
2011M10,91,273,Definitivo,
2011M09,90,559,Definitivo,
2011M08,90,338,Definitivo,
2011M07,90,226,Definitivo,
2011M06,90,713,Definitivo,
2011M05,90,841,Definitivo,
2011M04,90,871,Definitivo,
2011M03,89,754,Definitivo,
2011M02,89,088,Definitivo,
2011M01,88,975,Definitivo,
2010M12,89,631,Definitivo,
2010M11,89,084,Definitivo,
2010M10,88,603,Definitivo,
2010M09,87,801,Definitivo,
2010M08,87,740,Definitivo,
2010M07,87,519,Definitivo,
2010M06,87,913,Definitivo,
2010M05,87,756,Definitivo,
2010M04,87,562,Definitivo,
2010M03,86,639,Definitivo,
2010M02,86,001,Definitivo,
2010M01,86,158,Definitivo,
2009M12,87,031,Definitivo,
2009M11,87,053,Definitivo,
2009M10,86,584,Definitivo,
2009M09,85,971,Definitivo,
2009M08,86,174,Definitivo,
2009M07,85,874,Definitivo,
2009M06,86,614,Definitivo,
2009M05,86,234,Definitivo,
2009M04,86,264,Definitivo,
2009M03,85,430,Definitivo,
2009M02,85,290,Definitivo,
2009M01,85,281,Definitivo,
2008M12,86,345,Definitivo,
2008M11,86,790,Definitivo,
2008M10,87,160,Definitivo,
2008M09,86,861,Definitivo,
2008M08,86,879,Definitivo,
2008M07,87,066,Definitivo,
2008M06,87,486,Definitivo,
2008M05,86,985,Definitivo,
2008M04,86,402,Definitivo,
2008M03,85,482,Definitivo,
2008M02,84,730,Definitivo,
2008M01,84,598,Definitivo,
2007M12,85,125,Definitivo,
2007M11,84,770,Definitivo,
2007M10,84,167,Definitivo,
2007M09,83,090,Definitivo,
2007M08,82,818,Definitivo,
2007M07,82,704,Definitivo,
2007M06,83,311,Definitivo,
2007M05,83,158,Definitivo,
2007M04,82,930,Definitivo,
2007M03,81,800,Definitivo,
2007M02,81,184,Definitivo,
2007M01,81,129,Definitivo,
2006M12,81,678,Definitivo,
2006M11,81,455,Definitivo,
2006M10,81,254,Definitivo,
2006M09,80,922,Definitivo,
2006M08,81,055,Definitivo,
2006M07,80,890,Definitivo,
2006M06,81,374,Definitivo,
2006M05,81,251,Definitivo,
2006M04,80,959,Definitivo,
2006M03,79,833,Definitivo,
2006M02,79,272,Definitivo,
2006M01,79,234,Definitivo,
2005M12,79,557,Definitivo,
2005M11,79,386,Definitivo,
2005M10,79,266,Definitivo,
2005M09,78,627,Definitivo,
2005M08,78,147,Definitivo,
2005M07,77,805,Definitivo,
2005M06,78,284,Definitivo,
2005M05,78,102,Definitivo,
2005M04,77,953,Definitivo,
2005M03,76,846,Definitivo,
2005M02,76,243,Definitivo,
2005M01,76,046,Definitivo,
2004M12,76,692,Definitivo,
2004M11,76,767,Definitivo,
2004M10,76,575,Definitivo,
2004M09,75,796,Definitivo,
2004M08,75,661,Definitivo,
2004M07,75,328,Definitivo,
2004M06,75,904,Definitivo,
2004M05,75,784,Definitivo,
2004M04,75,340,Definitivo,
2004M03,74,322,Definitivo,
2004M02,73,807,Definitivo,
2004M01,73,773,Definitivo,
2003M12,74,294,Definitivo,
2003M11,74,167,Definitivo,
2003M10,73,926,Definitivo,
2003M09,73,431,Definitivo,
2003M08,73,213,Definitivo,
2003M07,72,878,Definitivo,
2003M06,73,338,Definitivo,
2003M05,73,289,Definitivo,
2003M04,73,357,Definitivo,
2003M03,72,765,Definitivo,
2003M02,72,264,Definitivo,
2003M01,72,111,Definitivo,
2002M12,72,409,Definitivo,
2002M11,72,169,Definitivo,
2002M10,72,058,Definitivo,
2002M09,71,351,Definitivo,
2002M08,71,085,Definitivo,
2002M07,70,882,Definitivo,
2002M06,71,377,Definitivo,
2002M05,71,374,Definitivo,
2002M04,71,118,Definitivo,
2002M03,70,165,Definitivo,
2002M02,69,590,Definitivo,
2002M01,69,530,Definitivo,